gene,organ_system,evidence_sources,safetyome_scaled_score,tau_score_percentile,conservation_score_percentile,safetyome_scaled_score_percentile,median_tau_conservation_score,median_all_scores
NOG,Musculoskeletal and connective tissue disorders,"Clinvar(5), DisGenet(4), Diseases(1), GWAS(2), HPO(52), OpenTargets(7), PheGenI(1)",3.86,0.7945040642420372,0.9814591979568281,0.9949394886147153,0.8879816310994326,0.9814591979568281
PAX4,Metabolism and nutrition disorders,"Clinvar(3), DisGenet(3), Diseases(2), GWAS(4), HPO(19), OpenTargets(5), PheGenI(1)",2.58,0.9871994793841016,0.3083359937133174,0.9813685894993522,0.6477677365487096,0.9813685894993522
MMP13,Musculoskeletal and connective tissue disorders,"Clinvar(2), DisGenet(5), HPO(37), OpenTargets(3)",2.56,0.9871994793841016,0.5683922300532894,0.9810810998039529,0.7777958547186955,0.9810810998039529
RAD51,"Congenital, familial and genetic disorders","Clinvar(1), DisGenet(12), Diseases(2), GWAS(1), HPO(59), OpenTargets(2)",3.86,0.8572051275754524,0.9808022887453648,0.9949394886147153,0.9190037081604086,0.9808022887453648
CNKSR2,Nervous system disorders,"Clinvar(1), DisGenet(2), GWAS(2), HPO(36), OpenTargets(9)",2.85,0.8285098597775103,0.9805935512389184,0.9857363546306623,0.9045517055082144,0.9805935512389184
HSP90AA1,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","DrugBank(5), OpenTargets(63)",2.53,0.03143955207386852,0.9826072542422829,0.9803779623561686,0.5070234031580757,0.9803779623561686
YY1,Nervous system disorders,"Clinvar(1), DisGenet(1), HPO(43), OpenTargets(3)",2.59,0.2246997863510228,0.9803663957171975,0.9816560791947517,0.6025330910341101,0.9803663957171975
FOXH1,"Congenital, familial and genetic disorders","Clinvar(1), Diseases(2), HPO(35), OpenTargets(8)",2.52,0.9871994793841016,0.2790329314113111,0.9801909208675954,0.6331162053977064,0.9801909208675954
CHRNB4,"Respiratory, thoracic and mediastinal disorders","DisGenet(6), DrugBank(31), GWAS(7), OpenTargets(2)",2.52,0.9871994793841016,0.09703224380540752,0.9801909208675954,0.5421158615947546,0.9801909208675954
IL1RAPL1,Psychiatric disorders,"Clinvar(1), DisGenet(2), GWAS(1), HPO(6), OpenTargets(4)",1.11,0.9871994793841016,0.9801576582107512,0.9143315345022272,0.9836785687974263,0.9801576582107512
NEUROD6,Nervous system disorders,"GWAS(8), OpenTargets(1), PheGenI(1)",0.65,0.9871994793841016,0.97994278136588,0.8514301746413306,0.9835711303749908,0.97994278136588
TNNC1,Cardiac disorders,"Clinvar(5), DisGenet(3), Diseases(2), DrugBank(3), GWAS(1), HPO(19), OpenTargets(7)",2.72,0.7416566390805727,0.9798629699663565,0.9838486210885815,0.8607598045234646,0.9798629699663565
PRRX1,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","GWAS(1), HPO(1), OpenTargets(51)",2.51,0.5815304142825569,0.9907664350089634,0.979820301621719,0.7861484246457602,0.979820301621719
GDF2,Vascular disorders,"Clinvar(2), DisGenet(1), Diseases(2), HPO(32), OpenTargets(4)",2.51,0.9871994793841016,0.34972127403551,0.979820301621719,0.6684603767098057,0.979820301621719
AP2M1,Nervous system disorders,"Clinvar(2), Diseases(1), HPO(33), OpenTargets(9)",2.48,0.02086761130620564,0.9986677635617985,0.9794496823758425,0.5097676874340021,0.9794496823758425
ACTG2,"Congenital, familial and genetic disorders","Clinvar(4), DisGenet(2), Diseases(1), GWAS(1), HPO(20), OpenTargets(9)",2.47,0.6155546278333047,0.9986677635617985,0.9790444258172674,0.8071111956975516,0.9790444258172674
SLCO1B1,Renal and urinary disorders,"GWAS(63), HPO(2)",2.46,0.9871994793841016,0.1811350408879939,0.9786911252277404,0.5841672601360477,0.9786911252277404
CLP1,Nervous system disorders,"Clinvar(2), DisGenet(1), Diseases(2), GWAS(2), HPO(27), OpenTargets(4)",2.52,0.3852127894698067,0.9786780776503524,0.9801909208675954,0.6819454335600796,0.9786780776503524
FSHB,Reproductive system and breast disorders,"DisGenet(2), Diseases(1), GWAS(8), HPO(17), OpenTargets(4), PheGenI(1), TTD(1)",2.44,0.9871994793841016,0.1425124628570025,0.9784555915013889,0.5648559711205521,0.9784555915013889
CRYAA,Eye disorders,"Clinvar(1), DisGenet(2), Diseases(2), GWAS(1), HPO(15), OpenTargets(12), PheGenI(1)",2.44,0.9871994793841016,0.1220684659021144,0.9784555915013889,0.554633972643108,0.9784555915013889
GRIA4,Nervous system disorders,"Clinvar(1), DisGenet(3), DrugBank(5), GWAS(1), HPO(20), OpenTargets(3), TTD(1)",2.44,0.9395827705606444,0.9782606026374598,0.9784555915013889,0.9589216865990522,0.9782606026374598
POU4F1,Nervous system disorders,"Clinvar(1), HPO(24), OpenTargets(1)",1.49,0.9871994793841016,0.9775975540875715,0.9434268771691617,0.9823985167358366,0.9775975540875715
NF2,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Clinvar(2), DisGenet(13), Diseases(4), GWAS(1), HPO(27), OpenTargets(152)",6.05,0.2669384347142752,0.9774195132732497,0.9995012226971383,0.6221789739937624,0.9774195132732497
RARA,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Clinvar(1), Diseases(2), DrugBank(7), HPO(3), OpenTargets(92), TTD(1)",4.56,0.282544632990349,0.9771984970899535,0.9977035461680741,0.6298715650401513,0.9771984970899535
SRGAP3,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","DisGenet(1), OpenTargets(68)",2.56,0.7119545197809484,0.9770265956140566,0.9810810998039529,0.8444905576975025,0.9770265956140566
PDX1,Metabolism and nutrition disorders,"Clinvar(4), DisGenet(4), Diseases(3), HPO(21), OpenTargets(6)",2.38,0.9871994793841016,0.6690221261756834,0.977007751830582,0.8281108027798925,0.977007751830582
POU1F1,Endocrine disorders,"Clinvar(2), DisGenet(2), Diseases(1), HPO(25), OpenTargets(8)",2.38,0.9871994793841016,0.6464784754794823,0.977007751830582,0.8168389774317919,0.977007751830582
LHX4,Endocrine disorders,"Clinvar(2), DisGenet(1), Diseases(1), HPO(30), OpenTargets(6)",2.47,0.7014255543822597,0.9768731121534343,0.9790444258172674,0.839149333267847,0.9768731121534343
ATP6V1B2,"Congenital, familial and genetic disorders","Clinvar(2), DisGenet(2), HPO(64), OpenTargets(6)",3.39,0.2113160285847597,0.976326711033619,0.9915796692829384,0.5938213698091893,0.976326711033619
TUBB,"Congenital, familial and genetic disorders","Clinvar(1), DisGenet(5), GWAS(1), HPO(36), OpenTargets(4)",2.74,0.098757397902802,0.9760811374966234,0.9842642688409663,0.5374192676997127,0.9760811374966234
GNRHR,Reproductive system and breast disorders,"DisGenet(5), DrugBank(8), HPO(19), OpenTargets(4), TTD(1)",2.34,0.9871994793841016,0.6877102723410525,0.9759582412558104,0.837454875862577,0.9759582412558104
TAL2,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Clinvar(1), Diseases(1), GWAS(2), HPO(2), OpenTargets(31)",2.34,0.9871994793841016,0.1231735468185948,0.9759582412558104,0.5551865131013483,0.9759582412558104
ZPBP2,Immune system disorders,"DisGenet(10), GWAS(15), OpenTargets(13), PheGenI(3)",2.33,0.9871994793841016,0.2973281599174873,0.9754109717151704,0.6422638196507944,0.9754109717151704
POLR2A,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","DisGenet(3), GWAS(2), OpenTargets(35), PheGenI(1)",2.33,0.2076876795756489,0.9952051766901598,0.9754109717151704,0.6014464281329044,0.9754109717151704
SNRPB,"Congenital, familial and genetic disorders","Clinvar(1), DisGenet(1), HPO(33), OpenTargets(6)",2.33,0.02022298077159205,0.9965988065126102,0.9754109717151704,0.5084108936421011,0.9754109717151704
DDX5,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","OpenTargets(59), TTD(1)",2.33,0.02096584072100391,0.9792183394317429,0.9754109717151704,0.5000920900763733,0.9754109717151704
PRKCB,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","DisGenet(2), DrugBank(4), OpenTargets(72)",3.2,0.7187384887404533,0.9753259988703618,0.9897473554411754,0.8470322438054075,0.9753259988703618
TRIM27,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Diseases(1), OpenTargets(58)",2.3,0.06178630190810638,0.9788438397878244,0.9751927566451685,0.5203150708479654,0.9751927566451685
FBXO11,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","DisGenet(17), GWAS(1), HPO(2), OpenTargets(189)",5.71,0.1966859851182436,0.9750927040102159,0.9992795438958664,0.5858893445642297,0.9750927040102159
